,time_bin,A,B,date,time_ns
161,61,650.5309523809523,386.05071428571426,20230424,7.625
162,62,668.5309523809523,340.05071428571426,20230424,7.75
163,63,612.5309523809523,320.05071428571426,20230424,7.875
164,64,637.5309523809523,353.05071428571426,20230424,8.0
165,65,556.5309523809523,304.05071428571426,20230424,8.125
166,66,570.5309523809523,324.05071428571426,20230424,8.25
167,67,535.5309523809523,290.05071428571426,20230424,8.375
168,68,539.5309523809523,262.05071428571426,20230424,8.5
169,69,491.5309523809524,288.05071428571426,20230424,8.625
170,70,489.5309523809524,264.05071428571426,20230424,8.75
171,71,472.5309523809524,255.05071428571424,20230424,8.875
172,72,414.53095238095233,243.0507142857143,20230424,9.0
173,73,434.5309523809524,239.0507142857143,20230424,9.125
174,74,389.53095238095233,293.05071428571426,20230424,9.25
175,75,422.53095238095233,203.0507142857143,20230424,9.375
176,76,378.5309523809524,203.0507142857143,20230424,9.5
177,77,352.5309523809524,196.05071428571424,20230424,9.625
178,78,385.53095238095233,169.05071428571424,20230424,9.75
179,79,346.5309523809524,210.0507142857143,20230424,9.875
180,80,344.53095238095233,178.05071428571424,20230424,10.0
181,81,356.53095238095233,188.05071428571424,20230424,10.125
182,82,301.53095238095233,171.05071428571424,20230424,10.25
183,83,340.53095238095233,164.0507142857143,20230424,10.375
184,84,291.5309523809524,161.05071428571424,20230424,10.5
185,85,286.5309523809524,164.0507142857143,20230424,10.625
186,86,321.53095238095233,136.05071428571426,20230424,10.75
187,87,294.5309523809524,142.05071428571424,20230424,10.875
188,88,265.5309523809524,131.05071428571426,20230424,11.0
189,89,230.53095238095236,127.05071428571428,20230424,11.125
190,90,257.5309523809524,144.0507142857143,20230424,11.25
191,91,232.53095238095239,117.05071428571428,20230424,11.375
192,92,208.53095238095239,115.05071428571426,20230424,11.5
193,93,207.53095238095239,88.05071428571429,20230424,11.625
194,94,216.53095238095239,107.05071428571429,20230424,11.75
195,95,214.53095238095239,100.05071428571428,20230424,11.875
196,96,185.53095238095239,88.05071428571429,20230424,12.0
197,97,189.53095238095239,85.05071428571429,20230424,12.125
198,98,197.53095238095239,97.05071428571429,20230424,12.25
199,99,216.53095238095239,101.05071428571429,20230424,12.375
200,0,194.8671428571429,108.70761904761905,20230426,0.0
201,1,155.86714285714288,93.70761904761906,20230426,0.125
202,2,182.8671428571429,73.70761904761903,20230426,0.25
203,3,205.8671428571429,82.70761904761906,20230426,0.375
204,4,148.86714285714288,85.70761904761903,20230426,0.5
205,5,132.86714285714285,92.70761904761906,20230426,0.625
206,6,216.8671428571429,143.7076190476191,20230426,0.75
207,7,213.8671428571429,199.70761904761903,20230426,0.875
208,8,111.86714285714285,109.70761904761906,20230426,1.0
209,9,168.8671428571429,102.70761904761903,20230426,1.125
210,10,153.86714285714288,71.70761904761905,20230426,1.25
211,11,148.8671428571429,75.70761904761906,20230426,1.375
212,12,113.86714285714285,79.70761904761906,20230426,1.5
213,13,106.86714285714285,79.70761904761903,20230426,1.625
214,14,163.8671428571429,70.70761904761905,20230426,1.75
215,15,109.86714285714285,78.70761904761906,20230426,1.875
216,16,121.86714285714285,73.70761904761905,20230426,2.0
217,17,83.86714285714284,47.70761904761904,20230426,2.125
218,18,232.8671428571429,93.70761904761903,20230426,2.25
219,19,735.8671428571429,358.70761904761906,20230426,2.375
220,20,1370.8671428571429,797.707619047619,20230426,2.5
221,21,2028.8671428571427,1138.7076190476191,20230426,2.625
222,22,2700.867142857143,1469.707619047619,20230426,2.75
223,23,3005.867142857143,1689.707619047619,20230426,2.875
224,24,3178.867142857143,1714.707619047619,20230426,3.0
225,25,3040.867142857143,1644.707619047619,20230426,3.125
226,26,2975.867142857143,1600.7076190476191,20230426,3.25
227,27,2940.867142857143,1594.707619047619,20230426,3.375
228,28,2829.867142857143,1500.707619047619,20230426,3.5
229,29,2716.867142857143,1516.7076190476191,20230426,3.625
230,30,2579.867142857143,1335.7076190476191,20230426,3.75
231,31,2464.8671428571424,1281.7076190476191,20230426,3.875
232,32,2317.8671428571424,1245.7076190476191,20230426,4.0
233,33,2213.867142857143,1285.7076190476191,20230426,4.125
234,34,2131.867142857143,1121.7076190476191,20230426,4.25
235,35,2070.867142857143,1028.7076190476191,20230426,4.375
236,36,1940.8671428571427,1055.7076190476191,20230426,4.5
237,37,1944.8671428571427,973.7076190476191,20230426,4.625
238,38,1753.8671428571427,884.7076190476191,20230426,4.75
239,39,1725.8671428571427,950.7076190476191,20230426,4.875
240,40,1708.8671428571427,925.707619047619,20230426,5.0
241,41,1531.8671428571429,836.707619047619,20230426,5.125
242,42,1551.8671428571429,773.707619047619,20230426,5.25
243,43,1526.8671428571429,766.707619047619,20230426,5.375
244,44,1459.8671428571429,722.707619047619,20230426,5.5
245,45,1365.8671428571429,699.707619047619,20230426,5.625
246,46,1346.8671428571429,680.707619047619,20230426,5.75
247,47,1315.8671428571429,643.707619047619,20230426,5.875
248,48,1158.8671428571429,647.707619047619,20230426,6.0
249,49,1156.8671428571429,638.707619047619,20230426,6.125
250,50,1129.8671428571427,526.7076190476191,20230426,6.25
251,51,1062.8671428571429,611.707619047619,20230426,6.375
252,52,977.8671428571429,529.7076190476191,20230426,6.5
253,53,1001.8671428571429,465.70761904761906,20230426,6.625
254,54,979.8671428571429,517.7076190476191,20230426,6.75
255,55,866.8671428571429,480.70761904761906,20230426,6.875
256,56,839.8671428571429,466.70761904761906,20230426,7.0
257,57,773.8671428571429,412.70761904761906,20230426,7.125
258,58,840.8671428571429,418.70761904761906,20230426,7.25
259,59,810.8671428571429,415.70761904761906,20230426,7.375
260,60,744.8671428571429,389.70761904761906,20230426,7.5
261,61,737.8671428571429,380.70761904761906,20230426,7.625
262,62,718.8671428571427,386.70761904761906,20230426,7.75
263,63,704.8671428571427,376.70761904761906,20230426,7.875
264,64,636.8671428571429,337.70761904761906,20230426,8.0
265,65,645.8671428571429,328.70761904761906,20230426,8.125
266,66,533.8671428571429,300.70761904761906,20230426,8.25
267,67,543.8671428571429,262.70761904761906,20230426,8.375
268,68,568.8671428571429,298.70761904761906,20230426,8.5
269,69,570.8671428571428,235.7076190476191,20230426,8.625
270,70,501.86714285714294,250.7076190476191,20230426,8.75
271,71,455.86714285714294,310.70761904761906,20230426,8.875
272,72,481.86714285714294,240.7076190476191,20230426,9.0
273,73,463.86714285714294,233.7076190476191,20230426,9.125
274,74,432.86714285714294,240.7076190476191,20230426,9.25
275,75,444.86714285714294,217.7076190476191,20230426,9.375
276,76,410.86714285714294,227.7076190476191,20230426,9.5
277,77,412.86714285714294,212.7076190476191,20230426,9.625
278,78,370.86714285714294,196.7076190476191,20230426,9.75
279,79,360.86714285714294,208.7076190476191,20230426,9.875
280,80,365.86714285714294,214.7076190476191,20230426,10.0
281,81,373.86714285714294,194.7076190476191,20230426,10.125
282,82,288.86714285714294,159.70761904761906,20230426,10.25
283,83,262.8671428571429,154.70761904761906,20230426,10.375
284,84,294.86714285714294,177.7076190476191,20230426,10.5
285,85,285.86714285714294,157.70761904761906,20230426,10.625
286,86,244.8671428571429,180.70761904761906,20230426,10.75
287,87,276.86714285714294,150.70761904761906,20230426,10.875
288,88,268.8671428571429,124.70761904761906,20230426,11.0
289,89,272.86714285714294,120.70761904761903,20230426,11.125
290,90,271.86714285714294,129.70761904761903,20230426,11.25
291,91,255.8671428571429,136.7076190476191,20230426,11.375
292,92,254.8671428571429,116.70761904761906,20230426,11.5
293,93,262.8671428571429,101.70761904761906,20230426,11.625
294,94,205.8671428571429,117.70761904761903,20230426,11.75
295,95,214.8671428571429,105.70761904761906,20230426,11.875
296,96,214.8671428571429,111.70761904761903,20230426,12.0
297,97,203.8671428571429,115.70761904761905,20230426,12.125
298,98,181.8671428571429,95.70761904761906,20230426,12.25
299,99,167.8671428571429,85.70761904761906,20230426,12.375
