,diffusion_time_ns,delay_us,crescent_saturation,counts_x,counts_y,replicate
715,73394,540,6.25,816,1885,1
716,73394,540,6.25,776,1781,2
717,73394,540,6.25,811,1863,3
718,73394,540,6.25,859,1788,4
719,73394,540,6.25,805,1908,5
720,73394,600,0.01,3005,6761,0
721,73394,600,0.01,2970,6708,1
722,73394,600,0.01,3041,6589,2
723,73394,600,0.01,3056,6535,3
724,73394,600,0.01,3088,6660,4
725,73394,600,0.01,2988,6690,5
726,73394,600,0.05,2900,6252,0
727,73394,600,0.05,2807,6390,1
728,73394,600,0.05,2876,6180,2
729,73394,600,0.05,2833,6391,3
730,73394,600,0.05,2887,6259,4
731,73394,600,0.05,2839,6333,5
732,73394,600,0.25,2373,5274,0
