,diffusion_time_ns,delay_us,counts_x,counts_y,replicate
478,339789,600,3003,6850,10
479,339789,600,3056,6799,11
480,339789,660,2919,6317,0
481,339789,660,2845,6281,1
482,339789,660,2928,6394,2
483,339789,660,2900,6409,3
484,339789,660,2941,6449,4
485,339789,660,2902,6455,5
486,339789,660,2902,6324,6
487,339789,660,2788,6340,7
488,339789,660,2815,6381,8
489,339789,660,2871,6253,9
490,339789,660,2900,6433,10
491,339789,660,2835,6330,11
492,339789,720,2684,5876,0
493,339789,720,2703,5968,1
494,339789,720,2686,6038,2
495,339789,720,2742,5900,3
496,339789,720,2663,5858,4
497,339789,720,2562,5918,5
498,339789,720,2692,5924,6
499,339789,720,2814,5868,7
500,339789,720,2716,5935,8
501,339789,720,2762,6029,9
502,339789,720,2718,6043,10
503,339789,720,2616,5938,11
504,339789,780,2531,5647,0
505,339789,780,2547,5617,1
506,339789,780,2576,5645,2
507,339789,780,2558,5656,3
508,339789,780,2484,5571,4
509,339789,780,2547,5481,5
510,339789,780,2461,5602,6
511,339789,780,2468,5663,7
512,339789,780,2582,5707,8
513,339789,780,2600,5630,9
514,339789,780,2528,5515,10
515,339789,780,2652,5556,11
516,339789,840,2346,5263,0
517,339789,840,2381,5317,1
518,339789,840,2413,5250,2
519,339789,840,2334,5279,3
520,339789,840,2472,5357,4
521,339789,840,2265,5409,5
522,339789,840,2376,5292,6
523,339789,840,2423,5332,7
524,339789,840,2366,5325,8
525,339789,840,2396,5348,9
526,339789,840,2418,5426,10
527,339789,840,2366,5203,11
528,339789,900,2156,4919,0
529,339789,900,2154,4958,1
530,339789,900,2205,4998,2
531,339789,900,2272,4969,3
532,339789,900,2257,4986,4
533,339789,900,2333,4980,5
534,339789,900,2291,4972,6
535,339789,900,2262,5067,7
536,339789,900,2230,5073,8
537,339789,900,2263,5100,9
538,339789,900,2274,5087,10
539,339789,900,2237,4911,11
540,2718318,60,7084,7070,0
541,2718318,60,7147,7052,1
542,2718318,60,7323,7135,2
543,2718318,60,7192,7021,3
544,2718318,60,7205,7125,4
545,2718318,60,7135,7028,5
546,2718318,60,7241,7029,6
547,2718318,60,7276,7166,7
548,2718318,60,7278,7022,8
549,2718318,60,7326,7004,9
550,2718318,60,7280,6960,10
551,2718318,60,7181,7081,11
552,2718318,120,6640,6920,0
553,2718318,120,6665,6969,1
554,2718318,120,6597,6860,2
555,2718318,120,6722,6971,3
556,2718318,120,6520,6975,4
557,2718318,120,6681,6914,5
558,2718318,120,6525,6744,6
559,2718318,120,6505,6897,7
560,2718318,120,6454,6899,8
561,2718318,120,6581,6929,9
562,2718318,120,6682,6850,10
563,2718318,120,6610,6881,11
564,2718318,180,6057,6933,0
565,2718318,180,6178,6776,1
566,2718318,180,6093,6840,2
567,2718318,180,6104,6587,3
568,2718318,180,6166,6653,4
569,2718318,180,6202,6822,5
570,2718318,180,6088,6613,6
571,2718318,180,6078,6784,7
572,2718318,180,6245,6767,8
573,2718318,180,6269,6791,9
574,2718318,180,5953,6883,10
575,2718318,180,6226,6728,11
576,2718318,240,5674,6716,0
577,2718318,240,5642,6647,1
578,2718318,240,5416,6612,2
579,2718318,240,5708,6573,3
580,2718318,240,5682,6689,4
581,2718318,240,5627,6695,5
582,2718318,240,5580,6604,6
583,2718318,240,5722,6566,7
584,2718318,240,5625,6549,8
585,2718318,240,5718,6671,9
586,2718318,240,5691,6579,10
587,2718318,240,5760,6647,11
588,2718318,300,5239,6528,0
589,2718318,300,5181,6214,1
590,2718318,300,5219,6266,2
591,2718318,300,5295,6447,3
592,2718318,300,5263,6354,4
593,2718318,300,5200,6388,5
594,2718318,300,5333,6303,6
595,2718318,300,5160,6300,7
596,2718318,300,5300,6354,8
597,2718318,300,5210,6282,9
598,2718318,300,5226,6584,10
599,2718318,300,5220,6332,11
600,2718318,360,4832,6247,0
601,2718318,360,4779,6192,1
602,2718318,360,4849,6187,2
603,2718318,360,4984,6119,3
604,2718318,360,4762,6204,4
605,2718318,360,4989,6072,5
606,2718318,360,4740,6072,6
607,2718318,360,4906,6196,7
608,2718318,360,4901,6152,8
609,2718318,360,4861,6073,9
610,2718318,360,4982,6268,10
611,2718318,360,4724,6247,11
612,2718318,420,4544,6064,0
613,2718318,420,4564,5869,1
614,2718318,420,4479,5945,2
615,2718318,420,4470,5879,3
616,2718318,420,4419,5979,4
617,2718318,420,4524,5984,5
618,2718318,420,4456,5955,6
619,2718318,420,4480,5951,7
620,2718318,420,4547,6097,8
621,2718318,420,4451,6003,9
622,2718318,420,4431,5946,10
623,2718318,420,4387,6047,11
624,2718318,480,4198,5804,0
625,2718318,480,4084,5760,1
626,2718318,480,4147,5620,2
627,2718318,480,4209,5698,3
628,2718318,480,4207,5810,4
629,2718318,480,4100,5680,5
630,2718318,480,4164,5584,6
631,2718318,480,4198,5889,7
632,2718318,480,4150,5850,8
633,2718318,480,4255,5765,9
634,2718318,480,4231,5756,10
635,2718318,480,4091,5817,11
636,2718318,540,3913,5526,0
637,2718318,540,3981,5501,1
638,2718318,540,3778,5499,2
639,2718318,540,3856,5502,3
640,2718318,540,3807,5642,4
641,2718318,540,3893,5393,5
642,2718318,540,3857,5606,6
643,2718318,540,3964,5580,7
644,2718318,540,3809,5493,8
645,2718318,540,3828,5670,9
646,2718318,540,3895,5416,10
647,2718318,540,3815,5446,11
648,2718318,600,3755,5409,0
649,2718318,600,3651,5323,1
650,2718318,600,3575,5230,2
651,2718318,600,3545,5422,3
652,2718318,600,3694,5348,4
653,2718318,600,3642,5271,5
654,2718318,600,3544,5324,6
655,2718318,600,3551,5225,7
656,2718318,600,3646,5328,8
657,2718318,600,3661,5256,9
658,2718318,600,3627,5299,10
659,2718318,600,3651,5397,11
660,2718318,660,3335,5222,0
661,2718318,660,3443,4985,1
662,2718318,660,3413,5005,2
663,2718318,660,3387,5037,3
664,2718318,660,3370,5027,4
665,2718318,660,3306,5027,5
666,2718318,660,3433,5072,6
667,2718318,660,3431,5132,7
668,2718318,660,3388,5096,8
669,2718318,660,3389,5088,9
670,2718318,660,3517,5132,10
671,2718318,660,3425,5141,11
672,2718318,720,3153,4936,0
673,2718318,720,3110,4954,1
674,2718318,720,3147,4862,2
675,2718318,720,3194,4813,3
676,2718318,720,3242,4850,4
677,2718318,720,3169,4876,5
678,2718318,720,3009,4738,6
679,2718318,720,3178,4847,7
680,2718318,720,3080,4693,8
681,2718318,720,3216,4809,9
682,2718318,720,3149,4907,10
683,2718318,720,3071,4770,11
684,2718318,780,2961,4697,0
685,2718318,780,2858,4605,1
686,2718318,780,2882,4716,2
687,2718318,780,2924,4583,3
688,2718318,780,2982,4767,4
689,2718318,780,2928,4669,5
690,2718318,780,2921,4569,6
691,2718318,780,2969,4794,7
692,2718318,780,2989,4477,8
693,2718318,780,2904,4826,9
694,2718318,780,2953,4615,10
695,2718318,780,2899,4662,11
696,2718318,840,2676,4491,0
697,2718318,840,2689,4416,1
698,2718318,840,2776,4330,2
699,2718318,840,2752,4549,3
700,2718318,840,2732,4525,4
701,2718318,840,2622,4437,5
702,2718318,840,2737,4389,6
703,2718318,840,2757,4437,7
704,2718318,840,2762,4475,8
705,2718318,840,2728,4468,9
706,2718318,840,2697,4431,10
707,2718318,840,2766,4408,11
708,2718318,900,2610,4345,0
709,2718318,900,2645,4141,1
710,2718318,900,2566,4308,2
711,2718318,900,2603,4263,3
712,2718318,900,2514,4393,4
713,2718318,900,2493,4301,5
714,2718318,900,2584,4244,6
715,2718318,900,2569,4171,7
716,2718318,900,2526,4209,8
717,2718318,900,2564,4336,9
718,2718318,900,2529,4268,10
719,2718318,900,2553,4258,11
